add-none,1,10,20,147544,7377,0
add-yield-none,1,10,20,117428,5871,0
add-none,1,20,40,123506,3087,0
add-yield-none,1,20,40,101091,2527,0
add-none,1,40,80,138818,1735,0
add-yield-none,1,40,80,142134,1776,0
add-none,1,80,160,94661,591,0
add-yield-none,1,80,160,162152,1013,0
add-none,1,100,200,124877,624,0
add-yield-none,1,100,200,143237,716,0
add-none,1,1000,2000,138476,69,0
add-yield-none,1,1000,2000,612354,306,0
add-none,1,10000,20000,278487,13,0
add-yield-none,1,10000,20000,4885334,244,0
add-none,1,100000,200000,1807628,9,0
add-yield-none,1,100000,200000,44549734,222,0
add-none,2,10,40,151637,3790,0
add-yield-none,2,10,40,139023,3475,0
add-none,2,20,80,136972,1712,0
add-yield-none,2,20,80,163817,2047,0
add-none,2,40,160,165368,1033,0
add-yield-none,2,40,160,159372,996,-29
add-none,2,80,320,115832,361,0
add-yield-none,2,80,320,189242,591,55
add-none,2,100,400,133979,334,0
add-yield-none,2,100,400,187519,468,-9
add-none,2,1000,4000,167216,41,0
add-yield-none,2,1000,4000,752771,188,40
add-none,2,10000,40000,809629,20,361
add-yield-none,2,10000,40000,6885213,172,-367
add-none,2,100000,400000,7200473,18,-13019
add-yield-none,2,100000,400000,63958002,159,-6449
add-none,4,10,80,214546,2681,0
add-yield-none,4,10,80,212976,2662,0
add-none,4,20,160,178428,1115,0
add-yield-none,4,20,160,173978,1087,-16
add-none,4,40,320,139070,434,0
add-yield-none,4,40,320,225117,703,16
add-none,4,80,640,165534,258,0
add-yield-none,4,80,640,238822,373,5
add-none,4,100,800,207602,259,0
add-yield-none,4,100,800,204437,255,-18
add-none,4,1000,8000,234493,29,92
add-yield-none,4,1000,8000,946034,118,232
add-none,4,10000,80000,1535988,19,-627
add-yield-none,4,10000,80000,7408845,92,-152
add-none,4,100000,800000,14828253,18,-23783
add-yield-none,4,100000,800000,71604995,89,-1690
add-none,8,10,160,256634,1603,0
add-yield-none,8,10,160,247008,1543,0
add-none,8,20,320,249622,780,0
add-yield-none,8,20,320,254712,795,49
add-none,8,40,640,209153,326,0
add-yield-none,8,40,640,267047,417,27
add-none,8,80,1280,233665,182,0
add-yield-none,8,80,1280,333118,260,38
add-none,8,100,1600,239943,149,0
add-yield-none,8,100,1600,344304,215,156
add-none,8,1000,16000,474817,29,-352
add-yield-none,8,1000,16000,1248301,78,271
add-none,8,10000,160000,3312918,20,-80
add-yield-none,8,10000,160000,9590483,59,-8
add-none,8,100000,1600000,30139419,18,-9985
add-yield-none,8,100000,1600000,97452035,60,-15804
add-none,12,10,240,363113,1512,0
add-yield-none,12,10,240,334042,1391,10
add-none,12,20,480,311435,648,0
add-yield-none,12,20,480,375411,782,41
add-none,12,40,960,333863,347,0
add-yield-none,12,40,960,385430,401,88
add-none,12,80,1920,315408,164,0
add-yield-none,12,80,1920,388146,202,305
add-none,12,100,2400,347845,144,0
add-yield-none,12,100,2400,407309,169,317
add-none,12,1000,24000,605682,25,1469
add-yield-none,12,1000,24000,1692906,70,369
add-none,12,10000,240000,4690248,19,4441
add-yield-none,12,10000,240000,14628270,60,382
add-none,12,100000,2400000,44990053,18,-13612
add-yield-none,12,100000,2400000,151660361,63,-42607
add-m,1,10000,20000,776569,38,0
add-yield-m,1,10000,20000,5177870,258,0
add-c,1,10000,20000,522266,26,0
add-yield-c,1,10000,20000,4880673,244,0
add-s,1,10000,20000,416264,20,0
add-yield-s,1,10000,20000,4891181,244,0
add-m,2,10000,40000,3105160,77,0
add-yield-m,2,10000,40000,19252381,481,0
add-c,2,10000,40000,2942685,73,0
add-yield-c,2,10000,40000,12924644,323,0
add-s,2,10000,40000,9941542,248,0
add-yield-s,2,10000,40000,16878017,421,0
add-m,4,10000,80000,15325231,191,0
add-yield-m,4,10000,80000,60682234,758,0
add-c,4,10000,80000,12490121,156,0
add-yield-c,4,10000,80000,32939293,411,0
add-s,4,10000,80000,54994445,687,0
add-yield-s,4,10000,80000,53405124,667,0
add-m,8,10000,160000,36049883,225,0
add-yield-m,8,10000,160000,158628204,991,0
add-c,8,10000,160000,40633035,253,0
add-yield-c,8,10000,160000,99671559,622,0
add-s,8,10000,160000,161844808,1011,0
add-yield-s,8,10000,160000,210062629,1312,0
add-m,12,10000,240000,49620230,206,0
add-yield-m,12,10000,240000,244108305,1017,0
add-c,12,10000,240000,87868826,366,0
add-yield-c,12,10000,240000,166267122,692,0
add-s,12,10000,240000,345690908,1440,0
add-yield-s,12,10000,240000,388584463,1619,0
